title,console,brand,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,eu_sales,pal_sales,other_sales,release_date,decade
Wii Sports,Wii,Nintendo,Sports,Nintendo,Unknown,,82.74,41.49,3.77,29.02,0.0,8.46,2006,2000
Super Mario Bros.,NES,Nintendo,Platform,Nintendo,Unknown,,40.24,29.08,6.81,3.58,0.0,0.77,1985,1980
Mario Kart Wii,Wii,Nintendo,Racing,Nintendo,Unknown,,35.82,15.85,3.79,12.88,0.0,3.31,2008,2000
Wii Sports Resort,Wii,Nintendo,Sports,Nintendo,Unknown,,33.0,15.75,3.28,11.01,0.0,2.96,2009,2000
Pokemon Red/Pokemon Blue,GB,Nintendo,Role-Playing,Nintendo,Unknown,,31.37,11.27,10.22,8.89,0.0,1.0,1996,1990
Tetris,GB,Nintendo,Puzzle,Nintendo,Unknown,,30.26,23.2,4.22,2.26,0.0,0.58,1989,1980
New Super Mario Bros.,DS,Nintendo,Platform,Nintendo,Unknown,,30.01,11.38,6.5,9.23,0.0,2.9,2006,2000
Wii Play,Wii,Nintendo,Misc,Nintendo,Unknown,,29.02,14.03,2.93,9.2,0.0,2.85,2006,2000
New Super Mario Bros. Wii,Wii,Nintendo,Platform,Nintendo,Unknown,,28.62,14.59,4.7,7.06,0.0,2.26,2009,2000
Duck Hunt,NES,Nintendo,Shooter,Nintendo,Unknown,,28.31,26.93,0.28,0.63,0.0,0.47,1984,1980
Nintendogs,DS,Nintendo,Simulation,Nintendo,Unknown,,24.76,9.07,1.93,11.0,0.0,2.75,2005,2000
Mario Kart DS,DS,Nintendo,Racing,Nintendo,Unknown,,23.42,9.81,4.13,7.57,0.0,1.92,2005,2000
Pokemon Gold/Pokemon Silver,GB,Nintendo,Role-Playing,Nintendo,Unknown,,23.1,9.0,7.2,6.18,0.0,0.71,1999,1990
Wii Fit,Wii,Nintendo,Sports,Nintendo,Unknown,,22.72,8.94,3.6,8.03,0.0,2.15,2007,2000
Wii Fit Plus,Wii,Nintendo,Sports,Nintendo,Unknown,,22.0,9.09,2.53,8.59,0.0,1.79,2009,2000
Kinect Adventures!,X360,Microsoft,Misc,Microsoft Game Studios,Unknown,,21.82,14.97,0.24,4.94,0.0,1.67,2010,2010
Grand Theft Auto V,PS3,Sony,Action,Take-Two Interactive,Unknown,,21.4,7.01,0.97,9.27,0.0,4.14,2013,2010
Grand Theft Auto: San Andreas,PS2,Sony,Action,Take-Two Interactive,Unknown,,20.81,9.43,0.41,0.4,0.0,10.57,2004,2000
Super Mario World,SNES,Nintendo,Platform,Nintendo,Unknown,,20.61,12.78,3.54,3.75,0.0,0.55,1990,1990
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Misc,Nintendo,Unknown,,20.22,4.75,4.16,9.26,0.0,2.05,2005,2000
Pokemon Diamond/Pokemon Pearl,DS,Nintendo,Role-Playing,Nintendo,Unknown,,18.36,6.42,6.04,4.52,0.0,1.37,2006,2000
Super Mario Land,GB,Nintendo,Platform,Nintendo,Unknown,,18.14,10.83,4.18,2.71,0.0,0.42,1989,1980
Super Mario Bros. 3,NES,Nintendo,Platform,Nintendo,Unknown,,17.28,9.54,3.84,3.44,0.0,0.46,1988,1980
Grand Theft Auto V,X360,Microsoft,Action,Take-Two Interactive,Unknown,,16.38,9.63,0.06,5.31,0.0,1.38,2013,2010
Grand Theft Auto: Vice City,PS2,Sony,Action,Take-Two Interactive,Unknown,,16.15,8.41,0.47,5.49,0.0,1.78,2002,2000
Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,Role-Playing,Nintendo,Unknown,,15.85,6.06,5.38,3.9,0.0,0.5,2002,2000
Pokemon Black/Pokemon White,DS,Nintendo,Role-Playing,Nintendo,Unknown,,15.32,5.57,5.65,3.28,0.0,0.82,2010,2010
Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Puzzle,Nintendo,Unknown,,15.3,3.44,5.32,5.36,0.0,1.18,2005,2000
Gran Turismo 3: A-Spec,PS2,Sony,Racing,Sony Computer Entertainment,Unknown,,14.98,6.85,1.87,5.09,0.0,1.16,2001,2000
Call of Duty: Modern Warfare 3,X360,Microsoft,Shooter,Activision,Unknown,,14.76,9.03,0.13,4.28,0.0,1.32,2011,2010
Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,Role-Playing,Nintendo,Unknown,,14.64,5.89,3.12,5.04,0.0,0.59,1998,1990
Call of Duty: Black Ops,X360,Microsoft,Shooter,Activision,Unknown,,14.64,9.67,0.11,3.73,0.0,1.13,2010,2010
Pokemon X/Pokemon Y,3DS,Nintendo,Role-Playing,Nintendo,Unknown,,14.35,5.17,4.34,4.05,0.0,0.79,2013,2010
Call of Duty: Black Ops 3,PS4,Sony,Shooter,Activision,Unknown,,14.24,5.77,0.35,5.81,0.0,2.31,2015,2010
Call of Duty: Black Ops II,PS3,Sony,Shooter,Activision,Unknown,,14.03,4.99,0.65,5.88,0.0,2.52,2012,2010
Red Dead Redemption 2,PS4,Sony,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,0.0,6.21,2.26,2018,2010
Call of Duty: Black Ops II,X360,Microsoft,Shooter,Activision,Unknown,,13.73,8.25,0.07,4.3,0.0,1.12,2012,2010
Call of Duty: Modern Warfare 2,X360,Microsoft,Shooter,Activision,Unknown,,13.51,8.52,0.08,3.63,0.0,1.29,2009,2000
Call of Duty: Modern Warfare 3,PS3,Sony,Shooter,Activision,Unknown,,13.46,5.54,0.49,5.82,0.0,1.62,2011,2010
Call of Duty: WWII,PS4,Sony,Shooter,Activision,Sledgehammer Games,8.1,13.4,4.67,0.4,0.0,6.21,2.12,2017,2010
Grand Theft Auto III,PS2,Sony,Action,Take-Two Interactive,Unknown,,13.1,6.99,0.3,4.51,0.0,1.3,2001,2000
Super Smash Bros. Brawl,Wii,Nintendo,Fighting,Nintendo,Unknown,,13.04,6.75,2.66,2.61,0.0,1.02,2008,2000
Call of Duty: Black Ops,PS3,Sony,Shooter,Activision,Unknown,,12.73,5.98,0.48,4.44,0.0,1.83,2010,2010
Animal Crossing: Wild World,DS,Nintendo,Simulation,Nintendo,Unknown,,12.27,2.55,5.33,3.52,0.0,0.88,2005,2000
Mario Kart 7,3DS,Nintendo,Racing,Nintendo,Unknown,,12.21,4.74,2.67,3.91,0.0,0.89,2011,2010
Halo 3,X360,Microsoft,Shooter,Microsoft Game Studios,Unknown,,12.14,7.97,0.13,2.83,0.0,1.21,2007,2000
Grand Theft Auto V,PS4,Sony,Action,Take-Two Interactive,Unknown,,11.98,3.8,0.36,5.81,0.0,2.02,2014,2010
Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,Action,Nintendo,Unknown,,11.9,4.4,3.96,2.77,0.0,0.77,2009,2000
Super Mario 64,N64,Nintendo,Platform,Nintendo,Unknown,,11.89,6.91,1.91,2.85,0.0,0.23,1996,1990
FIFA 18,PS4,Sony,Sports,EA Sports,EA Vancouver,8.3,11.8,1.27,0.15,0.0,8.64,1.73,2017,2010
Gran Turismo 4,PS2,Sony,Racing,Sony Computer Entertainment,Unknown,,11.66,3.01,1.1,0.01,0.0,7.53,2004,2000
Super Mario Galaxy,Wii,Nintendo,Platform,Nintendo,Unknown,,11.52,6.16,1.2,3.4,0.0,0.76,2007,2000
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,Role-Playing,Nintendo,Unknown,,11.33,4.23,3.08,3.37,0.0,0.65,2014,2010
Super Mario Land 2: 6 Golden Coins,GB,Nintendo,Adventure,Nintendo,Unknown,,11.18,6.16,2.69,2.04,0.0,0.29,1992,1990
Grand Theft Auto IV,X360,Microsoft,Action,Take-Two Interactive,Unknown,,11.02,6.76,0.14,3.1,0.0,1.03,2008,2000
Gran Turismo,PS,Sony,Racing,Sony Computer Entertainment,Unknown,,10.95,4.02,2.54,3.87,0.0,0.52,1997,1990
Super Mario 3D Land,3DS,Nintendo,Platform,Nintendo,Unknown,,10.79,4.89,2.13,2.99,0.0,0.78,2011,2010
Gran Turismo 5,PS3,Sony,Racing,Sony Computer Entertainment,Unknown,,10.77,2.96,0.81,4.88,0.0,2.12,2010,2010
Call of Duty: Modern Warfare 2,PS3,Sony,Shooter,Activision,Unknown,,10.69,4.99,0.38,3.69,0.0,1.63,2009,2000
Grand Theft Auto IV,PS3,Sony,Action,Take-Two Interactive,Unknown,,10.57,4.76,0.44,3.76,0.0,1.62,2008,2000
Super Mario All-Stars,SNES,Nintendo,Platform,Nintendo,Unknown,,10.55,5.99,2.12,2.15,0.0,0.29,1993,1990
Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,Role-Playing,Nintendo,Unknown,,10.49,4.34,3.15,2.65,0.0,0.35,2004,2000
Super Mario 64,DS,Nintendo,Platform,Nintendo,Unknown,,10.42,5.08,1.25,3.11,0.0,0.98,2004,2000
Just Dance 3,Wii,Nintendo,Misc,Ubisoft,Unknown,,10.26,6.05,0.0,3.15,0.0,1.07,2011,2010
Call of Duty: Ghosts,X360,Microsoft,Shooter,Activision,Unknown,,10.21,6.72,0.04,2.63,0.0,0.82,2013,2010
Halo: Reach,X360,Microsoft,Shooter,Microsoft Game Studios,Unknown,,9.88,7.03,0.08,1.98,0.0,0.78,2010,2010
Mario Kart 64,N64,Nintendo,Racing,Nintendo,Unknown,,9.87,5.55,2.23,1.94,0.0,0.15,1996,1990
New Super Mario Bros. 2,3DS,Nintendo,Platform,Nintendo,Unknown,,9.82,3.66,2.47,3.07,0.0,0.63,2012,2010
Halo 4,X360,Microsoft,Shooter,Microsoft Game Studios,Unknown,,9.76,6.63,0.04,2.36,0.0,0.73,2012,2010
Final Fantasy VII,PS,Sony,Role-Playing,Sony Computer Entertainment,Unknown,,9.72,3.01,3.28,2.47,0.0,0.96,1997,1990
Call of Duty: Ghosts,PS3,Sony,Shooter,Activision,Unknown,,9.59,4.09,0.38,3.73,0.0,1.38,2013,2010
Just Dance 2,Wii,Nintendo,Misc,Ubisoft,Unknown,,9.52,5.84,0.01,2.89,0.0,0.78,2010,2010
Gran Turismo 2,PS,Sony,Racing,Sony Computer Entertainment,Unknown,,9.49,3.88,1.69,3.42,0.0,0.5,1999,1990
Call of Duty 4: Modern Warfare,X360,Microsoft,Shooter,Activision,Unknown,,9.32,5.91,0.13,2.38,0.0,0.9,2007,2000
Call of Duty: Black Ops IIII,PS4,Sony,Shooter,Activision,Treyarch,,9.32,4.05,0.5,0.0,3.28,1.49,2018,2010
Donkey Kong Country,SNES,Nintendo,Platform,Nintendo,Unknown,,9.3,4.36,3.0,1.71,0.0,0.23,1994,1990
Minecraft,X360,Microsoft,Misc,Microsoft Game Studios,Unknown,,9.2,5.58,0.02,2.83,0.0,0.77,2013,2010
FIFA 19,PS4,Sony,Sports,Electronic Arts,EA Sports,,9.15,0.84,0.1,0.0,6.87,1.34,2018,2010
Animal Crossing: New Leaf,3DS,Nintendo,Simulation,Nintendo,Unknown,,9.09,2.01,4.36,2.32,0.0,0.41,2012,2010
Mario Party DS,DS,Nintendo,Misc,Nintendo,Unknown,,9.02,4.46,1.98,1.88,0.0,0.7,2007,2000
The Elder Scrolls V: Skyrim,X360,Microsoft,Role-Playing,Bethesda Softworks,Unknown,,8.84,5.03,0.1,2.86,0.0,0.85,2011,2010
Super Mario Kart,SNES,Nintendo,Racing,Nintendo,Unknown,,8.76,3.54,3.81,1.24,0.0,0.18,1992,1990
Halo 2,XB,Microsoft,Shooter,Microsoft Game Studios,Unknown,,8.49,6.82,0.05,1.53,0.0,0.08,2004,2000
Wii Party,Wii,Nintendo,Misc,Nintendo,Unknown,,8.49,1.79,2.49,3.53,0.0,0.68,2010,2010
FIFA 16,PS4,Sony,Sports,Electronic Arts,Unknown,,8.49,1.11,0.06,6.06,0.0,1.26,2015,2010
Call of Duty: Infinite Warfare,PS4,Sony,Shooter,Activision,Infinity Ward,7.9,8.48,3.11,0.19,0.0,3.83,1.36,2016,2010
Mario Party 8,Wii,Nintendo,Misc,Nintendo,Unknown,,8.42,3.81,1.58,2.3,0.0,0.73,2007,2000
Pokemon Black 2/Pokemon White 2,DS,Nintendo,Role-Playing,Nintendo,Unknown,,8.33,2.91,3.14,1.86,0.0,0.43,2012,2010
FIFA Soccer 13,PS3,Sony,Action,Electronic Arts,Unknown,,8.24,1.06,0.13,5.05,0.0,2.01,2012,2010
The Sims 3,PC,PC,Simulation,Electronic Arts,Unknown,,8.11,0.98,0.0,6.42,0.0,0.71,2009,2000
GoldenEye 007,N64,Nintendo,Shooter,Nintendo,Unknown,,8.09,5.8,0.13,2.01,0.0,0.15,1997,1990
Mario & Sonic at the Olympic Games,Wii,Nintendo,Sports,Sega,Unknown,,8.06,2.58,0.66,3.9,0.0,0.91,2007,2000
Final Fantasy X,PS2,Sony,Role-Playing,Sony Computer Entertainment,Unknown,,8.05,2.91,2.73,2.07,0.0,0.33,2001,2000
FIFA 13,PS3,Sony,Sports,EA Sports,EA Canada,,8.01,1.07,0.13,0.0,5.13,1.68,2012,2010
Final Fantasy VIII,PS,Sony,Role-Playing,SquareSoft,Unknown,,7.86,2.28,3.63,1.72,0.0,0.23,1999,1990
Pokémon Platinum Version,DS,Nintendo,Role-Playing,Nintendo,Unknown,,7.84,2.82,2.69,1.78,0.0,0.55,2008,2000
Pac-Man,2600,Atari,Puzzle,Atari,Unknown,,7.81,7.28,0.0,0.45,0.0,0.08,1982,1980
Grand Theft Auto: Liberty City Stories,PSP,Sony,Action,Take-Two Interactive,Unknown,,7.72,2.9,0.24,2.83,0.0,1.75,2005,2000
Super Mario Galaxy 2,Wii,Nintendo,Platform,Nintendo,Unknown,,7.69,3.66,0.98,2.42,0.0,0.64,2010,2010
Star Wars Battlefront (2015),PS4,Sony,Shooter,Electronic Arts,Unknown,,7.67,2.93,0.22,3.29,0.0,1.23,2015,2010
The Legend of Zelda: Ocarina of Time,N64,Nintendo,Action,Nintendo,Unknown,,7.6,4.1,1.45,1.89,0.0,0.16,1998,1990
Call of Duty: Advanced Warfare,PS4,Sony,Shooter,Activision,Unknown,,7.6,2.8,0.14,3.3,0.0,1.37,2014,2010
Crash Bandicoot 2: Cortex Strikes Back,PS,Sony,Platform,Sony Computer Entertainment,Unknown,,7.58,3.78,1.31,2.17,0.0,0.31,1997,1990
Super Mario Bros. 2,NES,Nintendo,Platform,Nintendo,Unknown,,7.46,5.39,0.7,1.18,0.0,0.19,1988,1980
Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,Fighting,Nintendo,Unknown,,7.45,3.24,2.42,1.35,0.0,0.43,2014,2010
Call of Duty: World at War,X360,Microsoft,Shooter,Activision,Unknown,,7.37,4.79,0.0,1.9,0.0,0.69,2008,2000
Battlefield 3,X360,Microsoft,Shooter,Electronic Arts,Unknown,,7.34,4.46,0.06,2.13,0.0,0.69,2011,2010
The Legend of Zelda: Twilight Princess,Wii,Nintendo,Action,Nintendo,Unknown,,7.31,3.83,0.6,2.19,0.0,0.7,2006,2000
Call of Duty: Black Ops 3,XOne,Microsoft,Shooter,Activision,Unknown,,7.3,4.52,0.01,2.09,0.0,0.67,2015,2010
Just Dance,Wii,Nintendo,Misc,Ubisoft,Unknown,,7.27,3.51,0.0,3.03,0.0,0.73,2009,2000
Battlefield 1,PS4,Sony,Shooter,Electronic Arts,EA DICE,9.1,7.26,2.2,0.29,0.0,3.65,1.12,2016,2010
Battlefield 3,PS3,Sony,Shooter,Electronic Arts,Unknown,,7.23,2.85,0.35,2.93,0.0,1.1,2011,2010
Need for Speed Underground,PS2,Sony,Racing,Electronic Arts,Unknown,,7.2,3.27,0.08,2.83,0.0,1.02,2003,2000
Tekken 3,PS,Sony,Fighting,Sony Computer Entertainment,Unknown,,7.16,3.27,1.4,2.22,0.0,0.29,1998,1990
Crash Bandicoot 3: Warped,PS,Sony,Platform,Sony Computer Entertainment,Unknown,,7.13,3.68,1.42,1.75,0.0,0.28,1998,1990
Super Smash Bros. Melee,GC,Nintendo,Fighting,Nintendo,Unknown,,7.07,4.41,1.39,1.04,0.0,0.22,2001,2000
Mario Kart 8,WiiU,Nintendo,Racing,Nintendo,Unknown,,6.96,3.13,1.27,2.07,0.0,0.49,2014,2010
Fallout 4,PS4,Sony,Role-Playing,Bethesda Softworks,Unknown,,6.96,2.47,0.24,3.15,0.0,1.1,2015,2010
Mario Kart: Double Dash!!,GC,Nintendo,Racing,Nintendo,Unknown,,6.95,4.12,0.87,1.77,0.0,0.19,2003,2000
Just Dance 4,Wii,Nintendo,Misc,Ubisoft,Unknown,,6.91,4.14,0.0,2.21,0.0,0.56,2012,2010
Need for Speed Underground 2,PS2,Sony,Racing,Electronic Arts,Unknown,,6.9,2.71,0.08,3.02,0.0,1.09,2004,2000
FIFA 14,PS3,Sony,Sports,Electronic Arts,Unknown,,6.9,0.78,0.07,4.32,0.0,1.73,2013,2010
Medal of Honor: Frontline,PS2,Sony,Shooter,Electronic Arts,Unknown,,6.83,2.93,0.17,2.75,0.0,0.99,2002,2000
Uncharted 3: Drake's Deception,PS3,Sony,Action,Sony Computer Entertainment,Unknown,,6.83,2.77,0.19,2.8,0.0,1.06,2011,2010
Crash Bandicoot,PS,Sony,Platform,Sony Computer Entertainment,Unknown,,6.82,3.23,0.94,2.35,0.0,0.3,1996,1990
Zumba Fitness,Wii,Nintendo,Sports,505 Games,Unknown,,6.81,3.5,0.0,2.64,0.0,0.67,2010,2010
Gears of War 2,X360,Microsoft,Shooter,Microsoft Game Studios,Unknown,,6.76,4.15,0.06,1.92,0.0,0.64,2008,2000
Uncharted 2: Among Thieves,PS3,Sony,Action,Sony Computer Entertainment,Unknown,,6.73,3.27,0.21,2.25,0.0,1.0,2009,2000
Call of Duty 4: Modern Warfare,PS3,Sony,Shooter,Activision,Unknown,,6.72,3.1,0.28,2.3,0.0,1.04,2007,2000
FIFA 12,PS3,Sony,Sports,Electronic Arts,Unknown,,6.69,0.84,0.11,4.32,0.0,1.42,2011,2010
Big Brain Academy,DS,Nintendo,Misc,Nintendo,Unknown,,6.67,1.67,1.6,2.78,0.0,0.62,2005,2000
FIFA Soccer 12,PS3,Sony,Sports,EA Sports,EA Canada,9.2,6.65,0.84,0.11,0.0,4.33,1.37,2011,2010
Red Dead Redemption,PS3,Sony,Action,Take-Two Interactive,Unknown,,6.6,2.79,0.17,2.61,0.0,1.03,2010,2010
Donkey Kong Country Returns,Wii,Nintendo,Platform,Nintendo,Unknown,,6.59,3.25,1.03,1.84,0.0,0.47,2010,2010
FIFA 15,PS4,Sony,Sports,Electronic Arts,Unknown,,6.59,0.79,0.05,4.29,0.0,1.47,2014,2010
The Elder Scrolls V: Skyrim,PS3,Sony,Role-Playing,Bethesda Softworks,Unknown,,6.56,2.55,0.25,2.71,0.0,1.05,2011,2010
The Legend of Zelda,NES,Nintendo,Action,Nintendo,Unknown,,6.51,3.74,1.69,0.93,0.0,0.14,1986,1980
Assassin's Creed III,PS3,Sony,Action,Ubisoft,Unknown,,6.5,2.64,0.16,2.56,0.0,1.14,2012,2010
Halo: Combat Evolved,XB,Microsoft,Shooter,Microsoft Game Studios,Unknown,,6.43,4.98,0.08,1.3,0.0,0.07,2001,2000
Pokémon Emerald Version,GBA,Nintendo,Role-Playing,Nintendo,Unknown,,6.41,2.57,2.06,1.58,0.0,0.21,2004,2000
Kingdom Hearts,PS2,Sony,Role-Playing,Sony Computer Entertainment,Unknown,,6.4,3.64,1.49,1.2,0.0,0.07,2002,2000
Pokémon Crystal Version,GB,Nintendo,Role-Playing,Nintendo,Unknown,,6.39,2.55,1.29,1.56,0.0,0.99,2000,2000
Halo 3: ODST,X360,Microsoft,Shooter,Microsoft Game Studios,Unknown,,6.36,4.34,0.06,1.35,0.0,0.61,2009,2000
Red Dead Redemption,X360,Microsoft,Action,Take-Two Interactive,Unknown,,6.34,3.7,0.09,1.97,0.0,0.57,2010,2010
Super Mario Sunshine,GC,Nintendo,Platform,Nintendo,Unknown,,6.31,4.01,0.87,1.26,0.0,0.17,2002,2000
Street Fighter II: The World Warrior,SNES,Nintendo,Fighting,Capcom,Unknown,,6.3,2.47,2.87,0.83,0.0,0.12,1992,1990
World of Warcraft,PC,PC,Role-Playing,Activision,Unknown,,6.28,0.07,0.0,6.21,0.0,0.0,2004,2000
Driver,PS,Sony,Action,GT Interactive,Unknown,,6.27,3.11,0.02,2.8,0.0,0.33,1999,1990
Kinect Sports,X360,Microsoft,Sports,Microsoft Game Studios,Unknown,,6.24,3.92,0.03,1.78,0.0,0.51,2010,2010
Gears of War 3,X360,Microsoft,Shooter,Microsoft Game Studios,Unknown,,6.24,4.05,0.07,1.62,0.0,0.49,2011,2010
Call of Duty: WWII,XOne,Microsoft,Shooter,Activision,Sledgehammer Games,,6.23,3.75,0.0,0.0,1.91,0.57,2017,2010
Gears of War,X360,Microsoft,Shooter,Microsoft Game Studios,Unknown,,6.11,3.54,0.07,1.9,0.0,0.6,2006,2000
Metal Gear Solid 2: Sons of Liberty,PS2,Sony,Action,Konami Digital Entertainment,Unknown,,6.05,2.45,0.87,2.01,0.0,0.72,2001,2000
Sonic the Hedgehog 2,GEN,Sega,Platform,Sega,Unknown,,6.03,4.47,0.16,1.2,0.0,0.19,1992,1990
Metal Gear Solid,PS,Sony,Action,Konami Digital Entertainment,Unknown,,6.03,3.18,0.78,1.83,0.0,0.24,1998,1990
Metal Gear Solid 4: Guns of the Patriots,PS3,Sony,Action,Konami Digital Entertainment,Unknown,,6.03,2.63,0.83,1.74,0.0,0.83,2008,2000
The Last of Us,PS3,Sony,Action,Sony Computer Entertainment Europe,Unknown,,5.99,2.41,0.28,2.28,0.0,1.01,2013,2010
Final Fantasy XII,PS2,Sony,Role-Playing,Square Enix,Unknown,,5.95,1.88,2.33,0.0,0.0,1.74,2006,2000
LittleBigPlanet,PS3,Sony,Platform,Sony Computer Entertainment,Unknown,,5.92,2.8,0.17,2.05,0.0,0.9,2008,2000
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Role-Playing,Nintendo,Unknown,,5.84,0.66,4.35,0.69,0.0,0.15,2009,2000
LEGO Star Wars: The Complete Saga,Wii,Nintendo,Action,LucasArts,Unknown,,5.83,3.66,0.0,1.63,0.0,0.53,2007,2000
Resident Evil 2,PS,Sony,Action,Virgin Interactive,Unknown,,5.82,1.88,2.02,1.47,0.0,0.45,1998,1990
Red Dead Redemption 2,XOne,Microsoft,Action-Adventure,Rockstar Games,Rockstar Games,,5.77,3.76,0.0,0.0,1.47,0.54,2018,2010
Tekken 2,PS,Sony,Fighting,Sony Computer Entertainment,Unknown,,5.74,2.26,1.36,1.89,0.0,0.23,1996,1990
Cooking Mama,DS,Nintendo,Simulation,505 Games,Unknown,,5.72,3.13,0.07,1.94,0.0,0.58,2006,2000
Destiny,PS4,Sony,Shooter,Activision,Unknown,,5.65,2.49,0.16,2.05,0.0,0.96,2014,2010
Tetris,NES,Nintendo,Puzzle,Nintendo,Unknown,,5.58,2.97,1.81,0.69,0.0,0.11,1988,1980
Assassin's Creed II,PS3,Sony,Action,Ubisoft,Unknown,,5.57,2.54,0.21,1.95,0.0,0.87,2009,2000
Super Smash Bros.,N64,Nintendo,Fighting,Nintendo,Unknown,,5.55,2.95,1.97,0.6,0.0,0.04,1999,1990
Assassin's Creed,X360,Microsoft,Adventure,Ubisoft,Unknown,,5.55,3.28,0.07,1.65,0.0,0.55,2007,2000
Batman: Arkham City,PS3,Sony,Action,Warner Bros. Interactive Entertainment,Unknown,,5.53,2.7,0.11,1.91,0.0,0.8,2011,2010
Forza Motorsport 3,X360,Microsoft,Racing,Microsoft Game Studios,Unknown,,5.51,2.99,0.1,1.92,0.0,0.51,2009,2000
Monster Hunter Freedom Unite,PSP,Sony,Role-Playing,Capcom,Unknown,,5.5,0.47,4.13,0.57,0.0,0.34,2008,2000
Super Mario Advance,GBA,Nintendo,Platform,Nintendo,Unknown,,5.49,3.14,0.91,1.24,0.0,0.2,2001,2000
Mario Kart: Super Circuit,GBA,Nintendo,Racing,Nintendo,Unknown,,5.47,2.62,0.99,1.64,0.0,0.23,2001,2000
Super Mario World,GBA,Nintendo,Platform,Nintendo,Unknown,,5.46,3.21,0.95,1.11,0.0,0.2,2001,2000
Pokemon Stadium,N64,Nintendo,Strategy,Nintendo,Unknown,,5.45,3.18,0.94,1.24,0.0,0.09,1999,1990
Call of Duty: World at War,PS3,Sony,Shooter,Activision,Unknown,,5.43,2.72,0.0,1.87,0.0,0.84,2008,2000
Crash Bandicoot: The Wrath of Cortex,PS2,Sony,Platform,Universal Interactive,Unknown,,5.42,2.07,0.24,2.29,0.0,0.82,2001,2000
Minecraft,PS3,Sony,Misc,Sony Computer Entertainment,Unknown,,5.42,1.97,0.0,2.51,0.0,0.94,2014,2010
Final Fantasy XIII,PS3,Sony,Role-Playing,Square Enix,Unknown,,5.36,1.74,1.87,1.24,0.0,0.52,2009,2000
Dr. Mario,GB,Nintendo,Puzzle,Nintendo,Unknown,,5.34,2.18,2.0,0.96,0.0,0.2,1989,1980
Pokemon Pinball,GB,Nintendo,Misc,Nintendo,Unknown,,5.31,3.02,1.01,1.12,0.0,0.16,1999,1990
Final Fantasy IX,PS,Sony,Role-Playing,SquareSoft,Unknown,,5.3,1.62,2.78,0.77,0.0,0.14,2000,2000
Assassin's Creed III,X360,Microsoft,Action,Ubisoft,Unknown,,5.3,3.13,0.03,1.71,0.0,0.44,2012,2010
Final Fantasy X-2,PS2,Sony,Role-Playing,Electronic Arts,Unknown,,5.29,1.92,2.11,1.08,0.0,0.17,2003,2000
Donkey Kong 64,N64,Nintendo,Platform,Nintendo,Unknown,,5.27,3.33,1.09,0.79,0.0,0.06,1999,1990
Assassin's Creed II,X360,Microsoft,Action,Ubisoft,Unknown,,5.27,3.1,0.08,1.56,0.0,0.51,2009,2000
Professor Layton and the Curious Village,DS,Nintendo,Puzzle,Nintendo,Unknown,,5.26,1.22,1.03,2.48,0.0,0.52,2007,2000
Tomb Raider II,PS,Sony,Action,Eidos Interactive,Unknown,,5.24,2.3,0.2,2.46,0.0,0.28,1997,1990
Madden NFL 2004,PS2,Sony,Sports,EA Sports,EA Tiburon,9.5,5.23,4.26,0.01,0.0,0.26,0.71,2003,2000
Dragon Quest VIII: Journey of the Cursed King,PS2,Sony,Role-Playing,Square Enix,Unknown,,5.21,0.65,3.61,0.75,0.0,0.2,2004,2000
Super Mario Bros. 3,GBA,Nintendo,Platform,Nintendo,Unknown,,5.2,2.93,0.83,1.25,0.0,0.2,2003,2000
Diablo III,PC,PC,Role-Playing,Activision,Unknown,,5.2,2.43,0.0,2.15,0.0,0.62,2012,2010
Super Mario Land 3: Wario Land,GB,Nintendo,Platform,Nintendo,Unknown,,5.19,2.49,1.57,0.98,0.0,0.15,1994,1990
New Super Mario Bros. U,WiiU,Nintendo,Platform,Nintendo,Unknown,,5.19,2.32,1.27,1.3,0.0,0.31,2012,2010
FIFA Soccer 13,X360,Microsoft,Action,Electronic Arts,Unknown,,5.18,1.08,0.03,3.48,0.0,0.58,2012,2010
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Action,Nintendo,Unknown,,5.17,1.9,0.95,1.83,0.0,0.49,2007,2000
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Platform,Nintendo,Unknown,,5.15,2.1,2.2,0.74,0.0,0.11,1995,1990
Tomodachi Life,3DS,Nintendo,Simulation,Nintendo,Unknown,,5.15,0.96,1.89,2.02,0.0,0.28,2013,2010
Mario & Sonic at the Olympic Games,DS,Nintendo,Sports,Sega,Unknown,,5.14,1.64,0.44,2.48,0.0,0.58,2008,2000
Kirby's Dream Land,GB,Nintendo,Platform,Nintendo,Unknown,,5.13,2.71,1.7,0.61,0.0,0.11,1992,1990
