title,console,brand,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,eu_sales,pal_sales,other_sales,release_date,decade
BIT.TRIP COMPLETE,Wii,Nintendo,Misc,Rising Star Games,Unknown,,0.1,0.06,0.0,0.02,0.0,0.01,2011,2010
Green Lantern: Rise of the Manhunters,Wii,Nintendo,Action,Warner Bros. Interactive Entertainment,Unknown,,0.1,0.06,0.0,0.04,0.0,0.01,2011,2010
Alvin and the Chipmunks: Chipwrecked,X360,Microsoft,Misc,505 Games,Unknown,,0.1,0.08,0.0,0.01,0.0,0.01,2011,2010
Ben 10 Galactic Racing,X360,Microsoft,Racing,D3Publisher,Unknown,,0.1,0.07,0.0,0.02,0.0,0.01,2011,2010
Cabela's Adventure Camp,X360,Microsoft,Misc,Activision,Unknown,,0.1,0.07,0.0,0.02,0.0,0.01,2011,2010
Family Feud: 2012 Edition,X360,Microsoft,Misc,Ubisoft,Unknown,,0.1,0.1,0.0,0.0,0.0,0.01,2011,2010
Man vs. Wild,X360,Microsoft,Action,Crave Entertainment,Unknown,,0.1,0.09,0.0,0.0,0.0,0.01,2011,2010
MindJack,X360,Microsoft,Shooter,Square Enix,Unknown,,0.1,0.07,0.0,0.02,0.0,0.01,2011,2010
Rio,X360,Microsoft,Misc,THQ,Unknown,,0.1,0.05,0.0,0.03,0.0,0.01,2011,2010
Who Wants to Be A Millionaire?,X360,Microsoft,Misc,Ubisoft,Unknown,,0.1,0.09,0.0,0.0,0.0,0.01,2011,2010
Winter Stars,X360,Microsoft,Sports,Deep Silver,Unknown,,0.1,0.05,0.0,0.04,0.0,0.01,2011,2010
Samurai Warriors Chronicles 2nd,3DS,Nintendo,Action,Ubisoft Annecy,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
All Kamen Rider: Rider Generation 2,DS,Nintendo,Action,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Prototype 2,PC,PC,Action,Activision,Unknown,,0.1,0.07,0.0,0.02,0.0,0.01,2012,2010
Aquapazza: Aquaplus Dream Match,PS3,Sony,Fighting,Aqua Plus,Unknown,,0.1,0.05,0.05,0.0,0.0,0.01,2012,2010
Blades of Time,PS3,Sony,Action,Konami Digital Entertainment,Unknown,,0.1,0.04,0.01,0.03,0.0,0.01,2012,2010
Kidou Senshi Gundam UC,PS3,Sony,Action,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Kenka Bancho Bros: Tokyo Battle Royale,PSP,Sony,Action,Spike,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Sol Trigger,PSP,Sony,Role-Playing,Image Epoch,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,Sony,Adventure,Gust,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Tales of Innocence R,PSV,Sony,Role-Playing,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Fatal Frame 2: Wii Edition,Wii,Nintendo,Action,Nintendo,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Inazuma Eleven GO Strikers 2013,Wii,Nintendo,Role-Playing,Level 5,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2012,2010
Pro Evolution Soccer 2013,Wii,Nintendo,Sports,Konami Digital Entertainment,Unknown,,0.1,0.0,0.06,0.03,0.0,0.0,2012,2010
NASCAR The Game: Inside Line,X360,Microsoft,Racing,Activision,Unknown,,0.1,0.09,0.0,0.0,0.0,0.01,2012,2010
NeverDead,X360,Microsoft,Shooter,Konami Digital Entertainment,Unknown,,0.1,0.06,0.0,0.03,0.0,0.01,2012,2010
Little Battlers eXperience W,3DS,Nintendo,Role-Playing,Level 5,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2013,2010
Scribblenauts Unmasked: A DC Comics Adventure,3DS,Nintendo,Puzzle,Warner Bros. Interactive Entertainment,Unknown,,0.1,0.09,0.0,0.0,0.0,0.01,2013,2010
Macross 30: Ginga o Tsunagu Utagoe,PS3,Sony,Shooter,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2013,2010
Digimon Adventure,PSP,Sony,Role-Playing,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2013,2010
Dead or Alive 5,PSV,Sony,Fighting,Tecmo Koei,Unknown,,0.1,0.0,0.03,0.05,0.0,0.02,2013,2010
Jikkyou Powerful Pro Yakyuu 2013,PSV,Sony,Sports,Konami Digital Entertainment,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2013,2010
The Smurfs 2,Wii,Nintendo,Platform,Ubisoft,Unknown,,0.1,0.0,0.0,0.09,0.0,0.01,2013,2010
Zoo Tycoon (2013),X360,Microsoft,Simulation,Microsoft Game Studios,Unknown,,0.1,0.02,0.0,0.07,0.0,0.01,2013,2010
Disney Planes Fire & Rescue,3DS,Nintendo,Action,Disney Interactive Studios,Unknown,,0.1,0.01,0.0,0.08,0.0,0.01,2014,2010
Etrian Odyssey II: Heroes of Lagaard,3DS,Nintendo,Role-Playing,Atlus,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2014,2010
Kuroko's Basketball: Miracle Game,3DS,Nintendo,Sports,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2014,2010
F1 2014,PC,PC,Racing,Codemasters,Unknown,,0.1,0.0,0.0,0.09,0.0,0.01,2014,2010
Digimon All-Star Rumble,PS3,Sony,Fighting,Namco Bandai Games,Unknown,,0.1,0.06,0.0,0.03,0.0,0.02,2014,2010
Kamen Rider: Battride War II,PS3,Sony,Action,Namco Bandai Games,Unknown,,0.1,0.0,0.1,0.0,0.0,0.0,2014,2010
